Year-month,Number_hotel_rooms
201509,73998
201510,73636
201511,73636
201512,73846
201601,73930
201602,73970
201603,74002
201604,74002
201605,74124
201606,74155
201607,74083
201608,74083
201609,74364
201610,74399
201611,74578
201612,74868
201701,75267
201702,75596
201703,75877
201704,77217
201705,77555
201706,77553
201707,77872
201708,77920
201709,78056
201710,78278
201711,78881
201712,78935
201801,79044
201802,79191
201803,79231
201804,79403
201805,79321
201806,79944
201807,79929
201808,79889
201809,80596
201810,81120
201811,81149
201812,81465
201901,82137
201902,82080
201903,83138
201904,82203
201905,82203
201906,82207
201907,82877
201908,83085
201909,83126
201910,83819
201911,84091
201912,84089
202001,83999
202002,83999
202003,84005
202004,84807
202005,84935
202006,84935
202007,84935
202008,85220
