Year-Month,Hotel_room_occupancy_rate(%)
201509,83
201510,90
201511,91
201512,89
201601,86
201602,78
201603,84
201604,88
201605,82
201606,84
201607,88
201608,90
201609,87
201610,91
201611,94
201612,92
201701,87
201702,87
201703,90
201704,89
201705,84
201706,87
201707,90
201708,91
201709,87
201710,92
201711,95
201712,92
201801,92
201802,90
201803,93
201804,92
201805,88
201806,90
201807,91
201808,94
201809,86
201810,92
201811,95
201812,94
201901,92
201902,91
201903,92
201904,89
201905,88
201906,87
201907,86
201908,66
201909,63
201910,68
201911,66
201912,61
202001,59
202002,29
202003,32
202004,34
202005,37
202006,44
202007,49
202008,50
