userName,mentionName
XGuoforWaterloo,@JohnOCAP 
XGuoforWaterloo,@rafaelmgrossi
XGuoforWaterloo,@iaeaorg 
Aroguden,@Reuters 
Aroguden,@AFP 
Aroguden,@Reuters 
Aroguden,@Reuters 
Aroguden,@Reuters 
Aroguden,@Reuters 
globaltimesnews,@conan_movie 
Baa91500655,@CNN 
19_twitty,@POTUS
19_twitty,@JoeBiden 
19_twitty,@POTUS
19_twitty,@JoeBiden 
19_twitty,@Jvw23kB
19_twitty,@Reuters 
ecoMagNews,@SAMSoceannews 
ecoMagNews,@SAMSoceannews 
Youth4CTBT,@CTBTO_alerts #IMS
Youth4CTBT,@sina_zerbo 's 
thoton9,@yamamototaro0 
thoton9,@edanoyukio0531 
thoton9,@hiroyoshimura 
MarkHavinga,@foe_us
MarkHavinga,@Oceanwire
MarkHavinga,@Haagsche
MarkHavinga,@2eKamertweets
MarkHavinga,@ministerBlok
MarkHavinga,@JosepBorrellF
MarkHavinga,@vonderleyen
MarkHavinga,@EUEnvironment
MarkHavinga,@EUgreendeal
MarkHavinga,@TimmermansEU
MarkHavinga,@diederiksamsom
MarkHavinga,@UNEP
MarkHavinga,@antonioguterres
MarkHavinga,@NATO
MarkHavinga,@jensstoltenberg
MarkHavinga,@TEPCO_Nuclear
MarkHavinga,@JapanGov
MarkHavinga,@Nieuwsuur
MarkHavinga,@NOS
MarkHavinga,@NOSRadio1
MarkHavinga,@RTLnieuws
MarkHavinga,@op1npo
MarkHavinga,@Reuters
MarkHavinga,@AFP
MarkHavinga,@nzherald
MarkHavinga,@ausgov
MarkHavinga,@francediplo
MarkHavinga,@JY_LeDrian
MarkHavinga,@GermanyDiplo
MarkHavinga,@HeikoMaas
MarkHavinga,@NorwayMFA
MarkHavinga,@auhalvor
MarkHavinga,@SweMFA
MarkHavinga,@AnnLinde
MarkHavinga,@aims_gov_au
MarkHavinga,@UCSUSA
MarkHavinga,@Scientists4EU
MarkHavinga,@cnni
MarkHavinga,@ABC
MarkHavinga,@WashNewsLine
MarkHavinga,@WhiteHouse
MarkHavinga,@JoeBiden
MarkHavinga,@CanadaDOFA
MarkHavinga,@MarcGarneau
MarkHavinga,@IsraelMFA
MarkHavinga,@Yuval_Rotem
MarkHavinga,@JapanGov
MarkHavinga,@TEPCO_Nuclear
MarkHavinga,@MofaJapan_en
MarkHavinga,@norishikata 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
JapanMeltdown,@ 
SymbioticWrld,@CNN 
SymbioticWrld,@AndyLeeParker1 
SymbioticWrld,@fallingforufany
SymbioticWrld,@peruviangirlx
SymbioticWrld,@ANTINATALISTO 
SymbioticWrld,@AnarchyVizago 
SymbioticWrld,@latimes 
SymbioticWrld,@RoArquette 
SymbioticWrld,@latimes 
SymbioticWrld,@GretaThunberg 
SymbioticWrld,@GretaThunberg 
SymbioticWrld,@ReutersScience 
SymbioticWrld,@whoiszhu 
thouse_opinions,@StateDept 
thouse_opinions,@GEOMAR_de 
thouse_opinions,@globaltimesnews 
thouse_opinions,@zlj517 
NewZealand_cafe,@miyawakiatsushi 
NewZealand_cafe,@miyawakiatsushi 
Fayewes09032948,@POTUS 
yyisrael28,@JudicialWatch 
WaterTrends,@OceanActionHub 
yasmina720,@YourAnonRiots
yasmina720,@GretaThunberg
yasmina720,@Asuka_SGP2 
yasmina720,@datugennohi 
yasmina720,@karitoshi2011
yasmina720,@nJ1vQGP2JJDA1fZ 
yasmina720,@namiekuwabara 
yasmina720,@wingnutz12 
yasmina720,@YourAnonRiots
yasmina720,@GretaThunberg
yasmina720,@Asuka_SGP2 
yasmina720,@YourAnonRiots
yasmina720,@GretaThunberg
yasmina720,@Asuka_SGP2 
Cannabis_Cinema,@HBO 
duabusan,@jikiniroujin
duabusan,@Artsy_Marxist
duabusan,@China2ASEAN 
duabusan,@DebbieLemieux10
duabusan,@nytimes 
