region,location
"Beijing, China",109
United States,72
Earth,50
"Tokyo, Japan",46
Beijing,45
Hong Kong,45
London,42
USA,31
Tokyo,30
中华人民共和国,27
India,25
People's Republic of China,24
"北京, 中华人民共和国",24
Censored,20
"London, England",19
Hangzhou | Zhejiang | PRC 🇨🇳,19
"Washington, DC",18
China,18
127.0.0.0,18
Japan,18
Global,18
"Ontario, Canada",18
"New Delhi, India",18
"Wien, Österreich",17
"Los Angeles, CA",17
"California, USA",16
France,16
대한민국 서울,15
"Seoul, Korea ",15
Canada,15
Singapore,14
"Tokyo➡Kumamoto,Japan",14
"City of London, London",14
UK,14
Germany,14
関東地方 JAPAN      測定器：DC100,13
onmyoji,13
"New York, USA",13
"Seoul, Korea",12
Malaysia,12
Hong Kong is part of China,12
"Headquartered in Beijing, PRC",12
まほろば やまのべのみち,12
"Beijing, CHINA",12
Australia,11
Shanghai,10
"Dublin City, Ireland",10
Worldwide,10
United Kingdom,9
ITALY,9
"Jakarta, Indonesia",8
"New York, NY",8
🌍,8
The United Kingdom ,8
"Vienna, Austria",8
Jamaica- Trinidad &Tobago,8
"Dhaka, Bangladesh",8
🇦🇺 Australia  ,8
"Lucknow Canttonment Zone, Luck",8
"Chicago, IL",8
"London, UK",8
"Mumbai, India",7
Berlin,7
Shenzhen,7
"Berlin, Germany",7
XINJIANG,7
"Paris, France",7
"San Francisco, CA",7
"Amsterdam, The Netherlands",7
海千山千 ,7
Shanghai China,7
"Melbourne, Victoria",7
Auckland,6
"Brampton, Ontario",6
Denmark,6
台灣,6
恶人谷,6
"Whitehouse, OH",6
NIBIRU PLANET X,6
Barquisimeto-Venezuela,6
"上海, 中华人民共和国",6
"Nürnberg, Bayern",6
"Hong Kong, China",6
England,6
"Geneva, Switzerland",6
At Gold's Gym making gains.,6
"Seoul, South Korea",6
mars,5
Alpha Centauri  ,5
new york,5
"Karimnagar, India",5
My dog ❄🐕❄ @SnowdogChampion,5
Ahmedabad,5
South Africa,5
"Canterbury Region, New Zealand",5
tokyo,5
Ireland,5
"Birmingham, England",5
"Berlin, Deutschland",5
"Midland, Texas",5
