user_id,created_at,screen_name,text,location
1.15586E+18,18/4/2021 11:35,ShuklaRajvi,"South Korea is trying their best to prevent this from happening. Is @JoeBiden's administration plan for  accountability only limited to it's enemies? Will their allies keep getting away without consequences?
#FukushimaWater #JapanNuclearWater #Japannuclearwastewater",
9.63452E+17,18/4/2021 10:46,917LSX,Supply for Japanese nuclear pollution zone—— incase someday they grow two head on there shoulder.#JapanNuclearWater https://t.co/M3R6qIBGnj,
1.04177E+18,18/4/2021 10:29,Meow75310676,"""Define chaos for me.""
""The standard of safe nuclear waste water in Japanese government.""

#JapanNuclearWater",
1.04177E+18,12/4/2021 20:55,Meow75310676,"You know thr #JapanNuclearWater is probably ok to them, but it will damage all of our DNA.
So fuck them for doing this...",
1.04177E+18,17/4/2021 7:14,Meow75310676,"nuclear in the Pacific....
I'm thinking about some pretty bad history.
#JapanNuclearWater",
1.04177E+18,17/4/2021 6:51,Meow75310676,"Japan's disposal of nuclear waste is a violation of human right.
#JapanNuclearWater #Fukushima #Japan",
1.04177E+18,12/4/2021 10:40,Meow75310676,"Why is the @UN not doing anything about #JapanNuclearWater ? Did all the NGOs just became blind? Something smells fishy...
Well, it will soon smell like radiation",
1.04177E+18,13/4/2021 4:54,Meow75310676,"To those who say #JapanNuclearWater will be diluted in the ocean, will you swim in a pool with diluted shit?",
1.04177E+18,13/4/2021 20:30,Meow75310676,"there are other ways for Japan to solve their nuclear waster water problems, but they just chose the cheapest and the most unethical way.
#JapanNuclearWater",
1.04177E+18,14/4/2021 23:39,Meow75310676,"USA says nuclear water is harmless
Also the USA putting out this alert.
Calling this two face is a disgrace to the character two face.
#JapanNuclearWater https://t.co/giFPu4dufM",
1.04177E+18,12/4/2021 10:03,Meow75310676,"Even the USSR had done a better job than Japan all those years ago.
#JapanNuclearWater",
1.04177E+18,12/4/2021 10:38,Meow75310676,"Btw, aside from #JapanNuclearWater there is also a leak in Manatee County",
1.38371E+18,18/4/2021 10:14,earthhuman100,"https://t.co/EE3PCSWhPB

Japan's decision to release radioactive water into the sea must be prevented

#JapanNuclearWater  #Japannuclearwastewater #Japan #PacificOcean #pacificbeach #Ocean #Sea #Fukushima",
1.11091E+18,18/4/2021 9:46,hairyfood1,"#FukushimaWater #Fukushima #JapanNuclearWater
it may work https://t.co/wS9mh8xCdb",
1.34702E+18,18/4/2021 9:37,ChloeMandison,"The question comes: if one were to drink both, what chemical reaction would they produce? 
- I only know that as for the right hand side water, you'll need a lead coffin after consuming it😅

#FukushimaWater #JapanNuclearWater https://t.co/e9h6lP5u0e",
1.33392E+18,18/4/2021 8:28,Dylan22954555,"Once Japan starts to discharge radioactive waste water, which will spread across the Pacific Ocean in two months, we should unite to stop Japan from harming the world's living creatures. Japan is committing a crime against humanity and the earth!
#JapanNuclearWater #Fukushima",
59488559,18/4/2021 8:10,Girrali,"@zlj517 My #chemistry professor said ... ""dilution is the solution to pollution.""

I protested it was #unethical. He laughed at me 😞

These nations dumped ☢️ #radioactive waste in the ocean - until it was banned.

I oppose ☢️ #JapanNuclearWater discharge as unethical &amp; disrespectful. https://t.co/JMOw3CaEAG",🦎 Murrumbidgee Wiradjuri Language
1.38179E+18,18/4/2021 8:08,LilEthanChan1,"#JapanNuclearWater 

Ohhhh... Now where is our little sweety #GretaThunberg ？？Huh?","Los Angeles, CA"
1.3443E+18,18/4/2021 6:07,wohuixiukongtia,"It's safe to drink nuclear waste water.
 Is that means nuclear waste water is clean?
So why does Japanese government pour clean fresh water into ocean?
#JapanNuclearWater",
