user_id,created_at,screen_name,text,location
9.68731E+17,22/4/2021 5:06,LadelleStromei,"@CausticPatriot @mtgreenee @AOC i didn't vote for AOC! i voted for JOE! nuclear is sustainable, and the #supermajority knows it, millineals aren't gonna push us around, both sides of the frindge need to hush, EU included nuclear #nuclearwaste can be #diamondbatteries #smallnuclearreactor grow up","near Rome, GA, from Santa Fe"
35692915,22/4/2021 4:38,DawnRoseTurner,"@FredSiegel13 @CBCNews Ontario wants more #NuclearWaste 
storage. Meanwhile, #RenewableEnergy needs no such thing: Faster &amp; Cheaper to build too.

#SolarSpill = just a Sunny Day 😎 https://t.co/LTsb95c9nF","Comox Valley, BC"
35692915,22/4/2021 4:17,DawnRoseTurner,"#ThunderBay: New group, We the Nuclear Free North, to distribute 30,000 information cards on #NuclearWaste to households in northwestern #Ontario, from #Upsala to #Manitoba border. | @CBCNews
https://t.co/x9Ot0tbhON","Comox Valley, BC"
1.10269E+18,21/4/2021 19:47,wssgreens,"“There is nothing clean about #NuclearWaste no matter how the govt tries to present it. This is a dangerous &amp; dirty distraction from the investments we need to see in #EnergyEfficiency and #RenewableEnergy to combat #ClimateChange.”
#cdnpoli @cafreeland 

https://t.co/TtXTGYHCiF",West Vancouver
115246029,21/4/2021 19:11,InfinitePFilms,@JohnStossel The character played by #JackLemmon would beg to differ #watcholdmovies #EarthDay  #TheChinaSyndrome #JaneFonda #MichaelDouglas #NoNikes #nuclearwaste #greedisgood 😌,"Colorado, USA"
518417094,21/4/2021 13:04,ProspectUpdate,"The UK state-owned Nuclear Decommissioning Authority @NDAgovuk has officially launched a new #nuclear transport organisation, Nuclear Transport Solutions @NTSolutionsUK. 

What does this look like in practice?
#nuclearwaste #logistics #nuclearenergy
https://t.co/oWn3biqpUn",London
518417094,19/4/2021 13:48,ProspectUpdate,"Paul Dickman of the American Nuclear Society weighs in on Japan’s recent plan to release treated radioactive water from the Fukushima #nuclear plant into the Pacific Ocean. 

#nuclearwaste https://t.co/EAlEINK5V3",London
1.25069E+18,21/4/2021 11:30,splainerin,"Check out today's #SmartAndCurious for more curious facts.
https://t.co/qHWZMSIdzl

Image: @ENERGY

#Chernobyl #radioactive #elephantsfoot #radioactivesludge #nuclearwaste #ArturKorneyev https://t.co/tTGSXvMAyX",India
1.25069E+18,15/4/2021 6:36,splainerin,"Check out today's #BigStory to know about Japan's #Fukushima plan to get rid of 1.25 million tonnes of treated radioactive water. 

https://t.co/p0OH4f3f0B

#Japan #WasteWater #NuclearReactor #Daiichi #NuclearMeltdown #TEPCO #Greenpeace #IAEA #Tritium #Radioactive #Nuclearwaste https://t.co/ntRaO3vkwB",India
8.31996E+17,21/4/2021 10:15,venlaelena,"Looking forward to this! Future(s), futurity, imagination, envisioning and all related have been on my mind a lot lately - so I'm excited to hear more in relation to #nuclearwaste as it is nothing less of a tricky (or ""wicked"", as used in some literature) problem ☢️⏳🤔 https://t.co/CIdHznJn9I","Helsinki, Finlandia"
