博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
微微万象民生直通车A,1791010393,04月16日 22:59,微博视频号,,,1,2,,#日官员回应不喝核废水##日官员称喝了核废水也不能证明安全性#,【日官房长官强行解释“喝了核废水也不证明安全” 网友无情嘲讽真相了】4月15日，日本内阁官房长官加藤胜信，就日本核废水排海问题回答记者提问。有中国记者问道，日本副首相兼财务大臣麻生太郎曾说“这些废水喝了也没问题”，日本政府是否也持相同立场？加藤胜信表示，核废水喝了，也不能科学证明这水就安全，因此没有必要这么做。不少网友闻讯后表示，加藤胜信这是怕记者让他当场来一口，“心虚了”。L海客新闻的秒拍视频 收起全文d
朱衣看台湾,7341642160,04月16日 22:59,微博 weibo.com,,,9,4,,-,发布了头条文章：《20210416【少康戰情室】日排核廢水蔡政府軟趴趴》  O20210416【少康戰情室】日排核廢水蔡政府軟趴趴 ​
小川正道,5305365964,04月16日 17:09,微博视频号,,,,,,#赵立坚7问日本核废水排海#,赵立坚：核废水怎么就成了净化水？ （外交部发言人办公室）  L安徽反邪教的微博视频 ​
枫叶小子666,6292517563,04月15日 21:32,微博 weibo.com,,2,1,1,,#外交部召见日本驻华大使提出严正交涉#,【】4月15日，外交部部长助理吴江浩召见日本驻华大使垂秀夫，就日本政府决定以海洋排放方式处置福岛核电站事故废水提出严正交涉。　　吴江浩指出，日方有关决定置全球海洋环境于不顾，置国际公共健康安全和周边国家人民切身安全利益于不顾，涉嫌违反国际法和国际规则，不是现代文明国家所为。中方对此表示强烈不满和坚决反对。　　吴江浩表示，中方强烈敦促日方认清自身责任，秉持科学态度，履行国际义务。一是重新审视福岛核电站事故废水处置问题，收回排放入海错误决定；二是在国际机构框架下成立包括中国专家在内的联合技术工作组，确保核废水处置问题严格接受国际评估、核查和监督；三是在同利益攸关方和国际机构协商一致之前，不得擅自启动核废水排海。中方将继续同国际社会一道，密切关注事态发展，保留作出进一步反应的权利。 收起全文d
滚滚滚滚滚个球,5020001067,04月16日 15:29,Mac客户端,,,,,,-,麻绳大臣在16日记者会上，被提及中国说海洋不是日本的下水道时，他回应：那海洋是中国的下水道吗？那是大家的海。。。 ​
乐山检察,5198647703,04月16日 22:59,微博视频号,,,,,,#联合国专家称日核废水影响将超100年#,【】“上百万吨被污染的水排入大海之后，对人类和环境的威胁可能会持续超过100年。”联合国有关人权专家15日发表共同声明，对日本政府以海洋排放方式处置福岛核电站事故核废水的决定“深感失望”。L央视频的微博视频 ​​​
我死于这里与你无关,2762638375,04月16日 22:59,微博 weibo.com,,,,,,#日本核废水入海对中国有何影响#    难不成真被她吓到了？余聆摸着自己的下巴，起床之后，活动了一下酸痛的四肢，打开门，就和门口站着的人猝不及#杨幂英伦侦探风大片#,防的对个正着。 ​
ruyisanba_skzm6,1568624341,04月16日 21:18,微博 weibo.com,,,,,,#微博公开课#,"发布了头条文章：《薛定谔的太平洋——说说最近日本排核废水事件》 某核一名员工，以工作身份发表核废水观点，被另一名员工举报了,所以我本来也不想写什么，怎奈太多朋友要我发表看法了，于是就写一点吧  O薛定谔的太平洋——说说最近日本排核废水事件 ​"
独行骑士·Lwf,6316344897,04月16日 22:59,一点资讯,,,,,@一点资讯）O拜登真要力挺日本排核废水？菅义伟实在太天真，美国还留了一手,-,【拜登真要力挺日本排核废水？菅义伟实在太天真，美国还留了一手】（来自 @一点资讯）O拜登真要力挺日本排核废水？菅义伟实在太天真，美国还留了一手 ​
武力统一,5333693607,04月16日 22:58,武统超话,,7,6,3,,-,核廢水排入海 日官員还说喝了沒事!？ O网页链接 ​
