餐廳名字,地址,地區,價格,餐廳種類,好評,差評,評論數,評分,人均價格,緯度,經度
Uncle Pizza  Pasta & Grill,中環伊利近街25號地下,中環,$101-200,意大利菜,270,7,4,3.5,150,22.282598,114.16674
Le Viet,旺角彌敦道636號銀行中心1樓101-106,旺角,$101-200,越南菜,543,6,4,3.5,150,22.315031,114.173134
Wheatfield X 羅宋湯專門店 (東薈城),東涌達東路20號東薈城二期名店倉7樓703號舖,東涌,$51-100,多國菜,55,2,68,4.0,75,22.2874,113.9425
牛角次男坊 (東薈城),東涌達東路20號東薈城2期7樓706號舖,東涌,$51-100,日本菜,39,3,73,4.0,75,22.2874,113.9425
島中坊研,長洲中學路16號地下,長洲,$50以下,西式,53,1,76,4.0,50,22.2016,114.0265
Amante Bar & Restaurant,東涌富東村富東商場地下1號舖,東涌,$101-200,西式,68,1,79,4.5,150,22.2874,113.9425
金子半之助 (東薈城),東涌達東路20號東薈城名店倉1樓101A號舖,東涌,$51-100,日本菜,57,4,79,4.0,75,22.2874,113.9425
A Tavola Bar & Grill,東涌海濱路8號海堤灣畔地下E&F號舖,東涌,$101-200,意大利菜,70,0,80,4.5,150,22.2874,113.9425
啡寮,長洲新興街4號地下,長洲,$50以下,西式,49,1,84,4.0,50,22.2016,114.0265
華特餐廳,大嶼山香港迪士尼樂園酒店3樓,大嶼山,$201-400,西式,63,3,90,4.0,300,22.26806,113.9425
漁樂,長洲大新海傍路81B地下,長洲,$50以下,港式,63,1,95,4.5,50,22.2016,114.0265
E FOR EGG,大圍積運街2-8號海福商場地下2號舖,大圍,$50以下,韓國菜,63,1,100,4.0,50,22.3759,114.1786
潯,沙田石門安群街3號京瑞廣場1期1樓150號舖,沙田,$51-100,西式,92,2,100,4.5,75,22.3827,114.19191
木船泰國粉麵專門店,大埔翠怡街3號翠怡花園A座地下34號舖,大埔,$51-100,泰國菜,98,0,102,4.5,75,22.448,114.16946000000002
雲桂川冰室,屯門龍門路45號富健花園地下15號舖,屯門,$51-100,港式,98,0,104,4.5,75,22.395,113.97222
Peko Peko Eatery (海之戀商場),荃灣大河道100號海之戀商場1樓1006-1007號舖,荃灣,$101-200,多國菜,77,3,106,4.0,150,22.37806,114.10528
木屋大排檔,大埔大埔太和路15號太和中心地下27-28號舖,大埔,$101-200,泰國菜,96,0,106,4.5,150,22.448,114.16946000000002
素年,荃灣三陂坊20號地舖,荃灣,$101-200,日本菜,99,3,109,4.5,150,22.37806,114.10528
馬拉公公,屯門屯門鄉事會路112-140號雅都商場Go Go Mall1樓S69號舖,屯門,$50以下,馬來西亞菜,107,1,115,4.5,50,22.395,113.97222
維港灣餃子坊,元朗水車館街74號地舖,元朗,$50以下,港式,91,10,116,4.0,50,22.44444,114.02583
滿樂潮州,東涌達東路20號東薈城名店倉地下22號舖,東涌,$101-200,潮州菜,87,6,119,4.0,150,22.2874,113.9425
譽宴．星海薈,沙田安平街1號香港沙田萬怡酒店1樓,沙田,$201-400,粵菜 (廣東),113,1,119,4.5,300,22.3827,114.19191
四點金飯店,將軍澳貿業路8號新都城中心2期UG樓UG051i號舖,將軍澳,$101-200,潮州菜,103,2,120,4.5,150,22.309093,114.261688
原點,元朗馬田路20-30B號安寧大廈地下4號舖,元朗,$50以下,港式,103,2,121,4.5,50,22.44444,114.02583
APT. Coffee,灣仔月街2-12號地下A&B號舖,灣仔,$51-100,西式,91,3,121,4.0,75,22.2775,114.17306
老掌櫃東北菜館 (海之戀商場),荃灣大河道100號海之戀商場2樓2006號舖,荃灣,$51-100,東北菜,71,11,122,4.0,75,22.37806,114.10528
雞翼山 (新都會廣場),葵芳興芳路223號新都會廣場1樓180號舖,葵芳,$51-100,港式,114,0,124,4.5,75,22.3578,114.1298
RISE Kitchen,將軍澳唐賢街29號藍塘傲地下4號舖,將軍澳,$101-200,法國菜,99,9,125,4.0,150,22.309093,114.261688
鹵家,元朗教育路68號兆豐樓地下10及14號舖,元朗,$51-100,港式,113,1,126,4.5,75,22.44444,114.02583
九丁目日本料理,元朗西菁街23號K Plus地下G25-28號舖,元朗,$101-200,日本菜,114,0,127,4.5,150,22.44444,114.02583
616牛肉火鍋專門店 (三陂坊),荃灣三陂坊14-18號安安樓地下B號舖,荃灣,$101-200,港式,106,0,128,4.5,150,22.37806,114.10528
阿四車仔麵,粉嶺聯和墟和豐街59號地舖,粉嶺,$50以下,港式,113,5,128,4.0,50,22.4917,114.1415
新泰東南亞餐廳,馬鞍山西沙路608號馬鞍山廣場2樓259及260A號舖,馬鞍山,$101-200,越南菜,110,4,129,4.5,150,22.4277,114.2403
百芳池上便當 (大河道),荃灣大河道88號灣景廣場購物中心永旺灣景店地下G03號舖,荃灣,$51-100,台灣菜,101,1,129,4.5,75,22.37806,114.10528
韓閣,將軍澳欣景路8號新都城中心2期1015號舖,將軍澳,$51-100,韓國菜,101,6,129,4.0,75,22.309093,114.261688
凱逸餐室,元朗西菁街9號富盛大廈地下3-4號舖,元朗,$51-100,港式,115,1,130,4.0,75,22.44444,114.02583
MARKA HOUSE,荃灣大河道98號如心廣場二期1樓119號舖,荃灣,$101-200,意大利菜,107,0,131,4.5,150,22.37806,114.10528
醉辣鮮,元朗新田村路300號新田購物城地下F7號舖,元朗,$201-400,粵菜 (廣東),124,0,131,4.5,300,22.44444,114.02583
越瀧棧越南菜館,粉嶺聯和墟聯和路3號富貴樓地舖,粉嶺,$50以下,越南菜,114,2,131,4.0,50,22.4917,114.1415
Fleur,荃灣白田壩街45號南豐紗廠地下G08號舖,荃灣,$101-200,西式,94,2,134,4.0,150,22.37806,114.10528
溏串小町,大埔翠和里5號麗和閣地下D1號舖,大埔,$101-200,日本菜,116,8,136,4.0,150,22.448,114.16946000000002
牛大人台灣火鍋吃到飽 (銅鑼灣廣場二期),銅鑼灣駱克道463-483號銅鑼灣廣場二期5樓,銅鑼灣,$101-200,台灣菜,120,2,137,4.5,150,22.28056,114.18667
CoHee Studio,元朗錦田市街152號地舖,元朗,$51-100,西式,94,1,138,4.0,75,22.44444,114.02583
好湯好麵,大圍積存街20號地舖,大圍,$51-100,粵菜 (廣東),101,1,138,4.0,75,22.3759,114.1786
Little Mario's Pizzeria (活@KCC ),葵涌葵昌路72-76號活@KCC地下G02號舖,葵涌,$101-200,意大利菜,128,4,139,4.5,150,22.3669,114.1303
大澳餅店,大澳吉慶街66號,大澳,$50以下,港式,98,0,139,4.0,50,22.2523,113.8661
Odelice! (PopCorn),將軍澳唐賢街9號PopCorn商場1樓F23號舖,將軍澳,$101-200,法國菜,115,8,141,4.5,150,22.309093,114.261688
The Point - Pizza & Pasta (如心廣場),荃灣大河道98號如心廣場二期2樓214號舖,荃灣,$101-200,意大利菜,107,4,141,4.0,150,22.37806,114.10528
閨•家,北角蜆殻街6-16號寶榮大廈地下F號舖,北角,$50以下,港式,123,2,142,4.5,50,22.2885,114.1928
Vici Stage,荃灣沙咀道325-331號德仁樓地下B舖,荃灣,$101-200,西式,138,2,144,4.5,150,22.37806,114.10528
濠客蒸氣海鮮,元朗鳯攸南街3號好順景大廈地下13號舖,元朗,$201-400,港式,134,2,146,4.5,300,22.44444,114.02583
木玥巷,屯門井財街7號力生大廈地下4-5號舖,屯門,$101-200,台灣菜,136,0,147,4.5,150,22.395,113.97222
La Postre (荃灣廣場),荃灣大壩街4-30號荃灣廣場B1樓B109-B110號舖,荃灣,$201-400,西班牙菜,106,8,147,4.0,300,22.37806,114.10528
泰豪燒,元朗又新街37-51號富祐閣地下14號舖,元朗,$101-200,港式,133,5,149,4.0,150,22.44444,114.02583
hōmu by favilla,荃灣青山公路荃灣段398號愉景新城2樓2013號舖,荃灣,$101-200,日本菜,92,7,150,4.0,150,22.37806,114.10528
六小館,東涌達東路20號東薈城名店倉6樓601號舖,東涌,$101-200,粵菜 (廣東),133,3,150,4.5,150,22.2874,113.9425
Involtini Italian Cuisine,銅鑼灣駱克道459-461號 The L. Square 11樓,銅鑼灣,$201-400,意大利菜,121,6,152,4.0,300,22.28056,114.18667
Coffee Art,將軍澳貿業路8號新都城中心1期地下G95號舖,將軍澳,$51-100,意大利菜,114,7,152,4.0,75,22.309093,114.261688
廿一前,荃灣眾安街55號大鴻輝(荃灣)中心21樓B號舖,荃灣,$101-200,日本菜,121,9,153,4.0,150,22.37806,114.10528
大越越南餐廳,沙田沙角街8-12號花園城一期地下2號舖,沙田,$51-100,越南菜,137,2,153,4.5,75,22.3827,114.19191
牛極 (大河道),荃灣大河道77-89號寶成樓地下9號舖,荃灣,$51-100,日本菜,135,1,153,4.5,75,22.37806,114.10528
嘉寶漢堡,葵涌青山公路葵涌段499號嘉寶大廈地下A&B號舖,葵涌,$51-100,港式,120,5,154,4.0,75,22.3669,114.1303
馬祖 (海之戀商場),荃灣大河道100號海之戀商場地下G03號舖,荃灣,$101-200,台灣菜,125,11,156,4.0,150,22.37806,114.10528
WM Café & Bar (海之戀商場),荃灣大河道100號海之戀商場3樓3094號舖,荃灣,$51-100,西式,129,7,156,4.0,75,22.37806,114.10528
Pici,中環蘇豪鴨巴甸街24-26號地舖,中環,$201-400,意大利菜,110,7,158,4.0,300,22.282598,114.16674
長洲角酪,長洲新興街78號地舖,長洲,$50以下,港式,111,1,158,4.5,50,22.2016,114.0265
Coffever,銅鑼灣富明街2-6號寶明大廈3樓C室,銅鑼灣,$51-100,西式,143,4,158,4.5,75,22.28056,114.18667
Chotto Maki,灣仔廈門街33號地舖,灣仔,$51-100,日本菜,159,0,162,4.5,75,22.2775,114.17306
Sol House 親和藝術,荃灣享和街43-59號都城大廈地下57A號舖,荃灣,$201-400,西式,137,4,163,4.5,300,22.37806,114.10528
花居酒屋,荃灣海壩街108-114號荃碧大廈地舖,荃灣,$101-200,日本菜,146,0,164,4.5,150,22.37806,114.10528
慧食貓,葵芳葵富路7號葵涌廣場1樓B01C號舖,葵芳,$50以下,港式,122,0,164,4.5,50,22.3578,114.1298
Spring field,灣仔汕頭街25號地舖,灣仔,$51-100,越南菜,133,5,164,4.5,75,22.2775,114.17306
塚田農場,沙田沙田正街18號新城市廣場1樓105號舖,沙田,$101-200,日本菜,100,13,165,4.0,150,22.3827,114.19191
Just Eat,西環英華臺1-6號華輝閣地下2-3號舖,西環,$51-100,越南菜,160,1,165,4.5,75,22.28352441,114.1401891
叁嘗,天后歌頓道1號DIVA地下1A號舖,天后,$101-200,日本菜,139,1,166,4.5,150,22.2824,114.1922
韓閣,荃灣青山公路275號富裕樓地下G4-6號舖,荃灣,$101-200,韓國菜,128,12,166,4.0,150,22.37806,114.10528
兄弟工房,沙田石門安群街3號京瑞廣場一期地下G43號舖,沙田,$101-200,西式,151,3,166,4.0,150,22.3827,114.19191
譽宴．星海薈,銅鑼灣波斯富街99號利舞臺廣場5樓,銅鑼灣,$201-400,粵菜 (廣東),160,0,167,4.5,300,22.28056,114.18667
NINETYs (些利街),中環些利街2-4號地舖,中環,$201-400,西式,141,5,167,4.5,300,22.282598,114.16674
Pici,沙田沙田正街18號新城市廣場第一期2樓251號舖,沙田,$201-400,意大利菜,120,9,167,4.0,300,22.3827,114.19191
NUTTEA (海光街),鰂魚涌海光街36號地下2號舖,鰂魚涌,$50以下,台灣菜,141,2,167,4.5,50,22.28306,114.21278
